groupid,groupname,COMISSION,EMAIL
1788,CHF HERON LIMITED,10%,l.iyanda@clearlinehmo.com
1933,DTRAM CLEANING SERVICE LIMITED,10%,
1830,HSM NIGERIA LIMITED,10%,
1922,ACCESS BANK PLC,10%,c.orakwue@clearlinehmo.com
1898,ACE FACADE LIMITED,10%,
1543,ADENIJI KAZEEM & CO,10%,e.ibe@clearlinehmo.com
1893,ADIGUN OGUNSEITAN AND COMPANY,10%,o.lawal@clearlinehmo.com
1743,ADLAND PROJECTS (NIG) LIMITED,10%,
1668,ADRON HOMES AND PROPERTIES LIMITED,10%,e.ibe@clearlinehmo.com
1266,AFRAB-CHEM LIMITED,10%,e.ibe@clearlinehmo.com
1205,AFRICAN EXHIBITION SERVICES,10%,a.adelusi@clearlinehmo.com
1706,AIR PEACE NIGERIA,10%,e.ibe@clearlinehmo.com
1085,AirFrance KLM,10%,l.iyanda@clearlinehmo.com
1956,ALDREDA FIELDS LTD,10%,a.adelusi@clearlinehmo.com
1697,ALEKUN MICROFINANCE BANK,10%,e.ibe@clearlinehmo.com
1855,ALERT MICROFINANCE BANK,10%,
1834,ALPHAGRAM LIMITED (LUCKYBET),10%,c.orakwue@clearlinehmo.com
1530,AMECRON INFO. TECH.,10%,
1141,AMECRON NIGERIA LIMITED / SPDC,10%,
1915,AMECRON SMCP,10%,
1374,AMERICAN INTERNATIONAL SCHOOL OF LAGOS,10%,l.iyanda@clearlinehmo.com
974,AMNI INTERNATIONAL PETROLEUM DEV. CO.,10%,l.iyanda@clearlinehmo.com
1363,AMOBI NWOKAFOR & CO,10%,o.lawal@clearlinehmo.com
1409,ANGLICAN COMP. HIGH SCH. IPAJA,10%,
1328,ARIK AIR LIMITED,10%,l.iyanda@clearlinehmo.com
1970,ARIT OF AFRICA LIMITED,10%,c.orakwue@clearlinehmo.com
1847,ASABA AIRPORT COMPANY LTD,10%,
1960,ASCENTECH SERVICES LIMITED,10%,l.iyanda@clearlinehmo.com
1856,ASSOCIATION OF MASS COMM. STUDENTS OF 94/99,10%,c.orakwue@clearlinehmo.com
1888,ASSOCIATION OF PRIVATE PRACTISING SURVEYORS OF NIGERIA,10%,a.adelusi@clearlinehmo.com
1887,AT AND S LIMITED,10%,o.lawal@clearlinehmo.com
1701,ATMOSFAIR CLIMATE AND SUSTAINABILITY LTD,10%,
1791,AUTO BUCKS LENDERS LIMITED,10%,
1416,BABINGTON MACAULAY JNR SEMINARY,10%,
1489,BAKERY SOLUTIONS NIGERIA LIMITED,10%,
1850,BANCOR OUTSOURCING LIMITED,10%,e.ibe@clearlinehmo.com
1450,BAOBAB NIGERIA,10%,
