,,USING 2025 PLAN PRICE DIFFERENCE,,,,
procedurecode,procedure name,band_d,band_c,band_b,band_a,band_special
DRG2641,PARACETAMOL 500MG,20,26.6,37.772,58.5466,117.0932
DRG2813,AMOXICILLIN 500MG,80,106.4,151.088,234.1864,468.3728
DRG1106,AMLODIPINE 10MG,80,106.4,151.088,234.1864,468.3728
DRG1084,ARTHEMETER  LUMEFRANTINE 20/120,80,106.4,151.088,234.1864,468.3728
DRG1081,ARTHEMETER  LUMEFRANTINE 80/480,150,199.5,283.29,439.0995,878.199
DRG3188,VITAMIN C 100MG,10,13.3,18.886,29.2733,58.5466
DRG2278,LORATIDINE 10MG TAB,60,79.8,113.316,175.6398,351.2796
DRG0358,CIPROFLOXACIN 500MG,150,199.5,283.29,439.0995,878.199
DRG2370,METRONIDAZOLE 400MG TAB,40,53.2,75.544,117.0932,234.1864
DRG2357,OMEPRAZOLE 20MG TAB,80,106.4,151.088,234.1864,468.3728
DRG1224,ASPIRIN 75MG,50,66.5,94.43,146.3665,292.733
DRG2250,LISINOPRIL 10MG TAB,80,106.4,151.088,234.1864,468.3728
DRG2132,IBUPROFEN 400MG,40,53.2,75.544,117.0932,234.1864
DRG1711,METFORMIN 500MG,100,133,188.86,292.733,585.466
DRG2368,METRONIDAZOLE 200MG TAB,30,39.9,56.658,87.8199,175.6398
DRG2463,VITAMIN B-CO TAB,10,13.3,18.886,29.2733,58.5466
DRG2216,ARTHEMETER 80MG INJECTION,400,532,755.44,1170.932,2341.864
DRG1723,DICLOFENAC SODIUM 50MG,40,53.2,75.544,117.0932,234.1864
DRG1063,METHYLDOPA 250MG,80,106.4,151.088,234.1864,468.3728
DRG1129,AMOXICILLIN CLAVULANIC ACID 625MG TAB,200,266,377.72,585.466,1170.932
DRG2886,ERYTHROMYCIN 500MG,150,199.5,283.29,439.0995,878.199
DRG2700,CLOPIDOGREL 75MG,120,159.6,226.632,351.2796,702.5592
DRG2642,PARACETAMOL INJ 150MG/ML,150,199.5,283.29,439.0995,878.199
DRG2498,NIFEDIPINE 20MG TAB,70,93.1,132.202,204.9131,409.8262
DRG1142,AMOXICILLIN 250MG CAP,70,93.1,132.202,204.9131,409.8262
DRG2693,CHLOPHENAMINE 4MG,20.8,27.664,39.28288,60.888464,121.776928
DRG2284,LOSARTAN 50MG,85,113.05,160.531,248.82305,497.6461
DRG1110,AMLODIPINE 5MG,80,106.4,151.088,234.1864,468.3728
DRG2117,AMILORIDE HYDROCHLORIDE 5MG AND HYDROCHLOROTHIAZIDE 50MG,80,106.4,151.088,234.1864,468.3728
DRG2131,IBUPROFEN 200MG TAB,40,53.2,75.544,117.0932,234.1864
DRG2517,ORPHENADRINE 100MG,80,106.4,151.088,234.1864,468.3728
DRG1930,FERROUS SULPHATE 200MG TAB,20,26.6,37.772,58.5466,117.0932
DRG2116,HYDROCHLOROTHIAZIDE 25MG,50,66.5,94.43,146.3665,292.733
DRG1759,DOXYCYCLINE 100MG CAP,80,106.4,151.088,234.1864,468.3728
DRG4208,COUGH SYRUP,800,1064,1510.88,2341.864,4683.728
DRG1148,AMPICILLIN CLOXACILLIN 500MG,70,93.1,132.202,204.9131,409.8262
DRG4670,PARACETAMOL 300MG INJ,250,332.5,472.15,731.8325,1463.665
DRG1722,DICLOFENAC SODIUM 100MG TAB,60,79.8,113.316,175.6398,351.2796
DRG1163,ANTACID SUSPENSION,800,1064,1510.88,2341.864,4683.728
DRG2042,METFORMIN 1000MG,104,138.32,196.4144,304.44232,608.88464
DRG1478,CEFUROXIME 500MG TAB,250,332.5,472.15,731.8325,1463.665
DRG1793,HYOSCINE BUTYL BROMIDE 10MG,30,39.9,56.658,87.8199,175.6398
DRG1246,ATORVASTATIN 10MG,105,139.65,198.303,307.36965,614.7393
DRG1673,GLIBENCLAMIDE 5MG,16.9,22.477,31.91734,49.471877,98.943754
DRG1160,PARACETAMOL 450MG/ ORPHENADRINE 35MG,90,119.7,169.974,263.4597,526.9194
DRG1211,DICLOFENAC 75MG and MISOPROSTOL 200MCG,150,199.5,283.29,439.0995,878.199
DRG1527,CHLORPHENIRAMINE 4MG TAB,10,13.3,18.886,29.2733,58.5466
DRG1967,FOLIC ACID 5MG,15,19.95,28.329,43.90995,87.8199
DRG2371,Metronidazole infusion,800,1064,1510.88,2341.864,4683.728
DRG1199,ARTESUNATE 50MG TAB,100,133,188.86,292.733,585.466
DRG2914,CO-TRIMOXAZOLE 960MG TAB,200,266,377.72,585.466,1170.932
DRG1838,PARACETAMOL 1G,34.67,46.1111,65.477762,101.4905311,202.9810622
